app_id,id,unix_time,thumbs_up,minutes_played,useful_score,text,dt,len,hours_played
730,193478600,1745501227,1,39114,0.5,good shit vibing with my bro on this game,2025-04-24 13:27:07+00:00,41.0,651.9
730,193478412,1745501035,1,2053,0.5,MAMICHKATA VI SHO MA BANAHTE ZA 24 CHASA NA UNRANKED LOBITA SHOTO LEFNAH,2025-04-24 13:23:55+00:00,72.0,34.21666666666667
730,193478093,1745500712,1,9251,0.5,cs 2 is very good with prime (15 euro) i got 20 euro skin from care package,2025-04-24 13:18:32+00:00,75.0,154.18333333333334
730,193477887,1745500501,0,2782,0.5,I love cs/cs2 but same as r6 cant play with out using my shitty phone internet,2025-04-24 13:15:01+00:00,78.0,46.36666666666667
730,193477825,1745500442,1,2583,0.5,ass teammates,2025-04-24 13:14:02+00:00,13.0,43.05
730,193477668,1745500292,0,2827,0.5,"the game is simple: you have 3 cheaters vs 4 cheaters and you are in the mid to see a bad game. cs 2 will be a very best game, but the cheaters kill the game , the fun and more.  when valve do something about that ??",2025-04-24 13:11:32+00:00,216.0,47.11666666666667
730,193477441,1745500035,1,48753,0.5,too much freedom of speech i can say anything in chat so i love it,2025-04-24 13:07:15+00:00,66.0,812.55
730,193475938,1745498493,1,2224,0.5,helps me build up anger,2025-04-24 12:41:33+00:00,23.0,37.06666666666667
730,193475880,1745498420,0,18918,0.5,"unmatched toxicity, if you are just trying to have some fun time, CS2 is no the place for you",2025-04-24 12:40:20+00:00,93.0,315.3
730,193475850,1745498371,1,11095,0.5,dust ssie pałe,2025-04-24 12:39:31+00:00,14.0,184.91666666666666
730,193475810,1745498335,1,63525,0.5,NICE GAME,2025-04-24 12:38:55+00:00,9.0,1058.75
730,193475421,1745497919,0,103611,0.5,Riot games did them goooooooood,2025-04-24 12:31:59+00:00,31.0,1726.85
730,193475409,1745497908,0,40867,0.5,Played the game for free a bit. Enjoyed.... bought prime.  SURPRISEEEE!!!!  Hackers everywhere...  FIX YOUR FUCKING GAME!!!,2025-04-24 12:31:48+00:00,123.0,681.1166666666667
730,193474885,1745497331,1,3505,0.5,nice game,2025-04-24 12:22:11+00:00,9.0,58.416666666666664
730,193474843,1745497292,1,4591,0.5238095521926879,very fun to play with friends especially with shit ones,2025-04-24 12:21:32+00:00,55.0,76.51666666666667
730,193474620,1745497061,1,1708,0.5,i hate this game its fun,2025-04-24 12:17:41+00:00,24.0,28.466666666666665
730,193474139,1745496502,1,6889,0.5,A good game for my free time and for hackers without social life :),2025-04-24 12:08:22+00:00,67.0,114.81666666666666
730,193473840,1745496190,1,72208,0.5,"alosopapz als3392ms 210sk, sak29ej3!!! osacallas, slwesmacss?????",2025-04-24 12:03:10+00:00,65.0,1203.4666666666667
730,193473127,1745495330,0,21,0.5,"walaoweee. new prime, new cheater.",2025-04-24 11:48:50+00:00,34.0,0.35
730,193473064,1745495242,1,7147,0.5,GREAT GAME FOR SAYNG THE N WORD,2025-04-24 11:47:22+00:00,31.0,119.11666666666666
730,193472604,1745494642,1,15832,0.5,not to bad for a russian game,2025-04-24 11:37:22+00:00,29.0,263.8666666666667
730,193472598,1745494639,1,11623,0.5,very good very nice,2025-04-24 11:37:19+00:00,19.0,193.71666666666667
730,193472537,1745494568,0,3174,0.5,"In about every other match there's a cheater, it's really sad that you can't play a normal game. The anti-cheat is absolutely amazing, congratulations.",2025-04-24 11:36:08+00:00,151.0,52.9
730,193472485,1745494502,1,83,0.5,Legendary game....,2025-04-24 11:35:02+00:00,18.0,1.3833333333333333
730,193472416,1745494403,0,74085,0.5,Discord addon crush launchung a game,2025-04-24 11:33:23+00:00,36.0,1234.75
730,193472088,1745494014,1,1099,0.5,the best game but kick cheater,2025-04-24 11:26:54+00:00,30.0,18.316666666666666
