component,topic_high_words,topic_low_words
pca_txt_0,"russian, игра, russians, не, gold, nice","cheaters, game, game cheaters, cheat, anti, anti cheat"
pca_txt_1,"cheaters, cheater, cheat, hackers, anti, anti cheat","game, best, best game, good game, good, fun"
pca_txt_2,"cheaters, game, good game, good, cheater, russians","cs, cs2, csgo, steamcommunity com, steamcommunity, https steamcommunity"
pca_txt_3,"good, gambling, nice, gold, love, fun","russian, russians, game, игра, не, cs2"
pca_txt_4,"cs, hate, cs2, better, shit, worst","good, good game, steamcommunity com, steamcommunity, https steamcommunity, https"
pca_txt_5,"fun, good, russian, russians, like, nice","game, best, best game, com id, com, id"
pca_txt_6,"gambling, play, game, play game, 10, life","good, cheaters, best, good game, nice, better"
pca_txt_7,"good, good game, game, valve, fix, nice","cheaters, gambling, fun, cs, cs2, gold"
pca_txt_8,"cs, russians, russian, good game, play, nice","valve, anticheat, valorant, best, anti, anti cheat"
pca_txt_9,"hackers, russians, hacker, fps, best, best fps","vac, valorant, play, good, better, fun"
